"","avgScore09","avgFG09","avgTP09","avgFT09","avgRB09","avgASS09","avgTO09","avgSTL09","avgBL09","avgPF09","GP09"
"3",66.4117647058823,22.5882352941176,7.11764705882353,14.1176470588235,31.0588235294118,12.1176470588235,13.7352941176471,7.64705882352941,2.26470588235294,20.6176470588235,1
"6",69.4827586206897,25.551724137931,5.68965517241379,12.6896551724138,48,14,13.7586206896552,5.75862068965517,4.75862068965517,17.6206896551724,1
"10",64.4516129032258,23.3548387096774,7.09677419354839,10.6451612903226,44.258064516129,13.0645161290323,13.2258064516129,5.41935483870968,2.51612903225806,17.9354838709677,1
"12",72.1875,25.65625,6.1875,14.6875,30.25,14.4375,12.59375,5.96875,3.0625,15.625,3
"13",69.5454545454545,23.7878787878788,8.09090909090909,13.8787878787879,39.4242424242424,15.6060606060606,11.5151515151515,5.90909090909091,2.09090909090909,15.9090909090909,2
"27",69.9,24.0333333333333,6.03333333333333,15.8,52.5333333333333,12,13.2666666666667,7.06666666666667,4.16666666666667,20.2,1
"30",74.9393939393939,26.2727272727273,6.39393939393939,16,32.6060606060606,14.8484848484848,13.3939393939394,6.15151515151515,4.36363636363636,17.969696969697,1
"39",67,21.7666666666667,7.93333333333333,15.5333333333333,41.5,12.7666666666667,12.5666666666667,6,3.23333333333333,17.8666666666667,1
"40",77.1935483870968,27.6451612903226,7.29032258064516,14.6129032258065,40.3225806451613,16.3548387096774,11.4193548387097,7.06451612903226,3.64516129032258,18.6451612903226,1
"43",75.03125,27.09375,6.34375,14.5,37.78125,15.53125,12.03125,4.90625,2,16.8125,1
"51",75,24.75,8.125,17.375,29.84375,13.21875,15.40625,5.96875,2.21875,18.0625,1
"55",78.9677419354839,28.741935483871,8.09677419354839,13.3870967741935,29.0967741935484,14.9677419354839,14.3548387096774,9.35483870967742,5.80645161290323,17.9677419354839,1
"56",64.96875,23.03125,4.75,14.15625,42.3125,13.4375,12.46875,8.59375,3.28125,18.375,2
"63",77.3225806451613,27.3870967741935,4.74193548387097,17.8064516129032,50.3870967741936,15.3870967741935,12.6774193548387,5.80645161290323,8,12.9032258064516,5
"65",73.2068965517241,26.1724137931034,7.48275862068965,13.3793103448276,39.3793103448276,15.4137931034483,13.0689655172414,6.75862068965517,3.93103448275862,18.1379310344828,1
"69",73.7586206896552,26.4827586206897,7.03448275862069,13.7586206896552,35.4827586206897,14.1034482758621,17.5862068965517,8.82758620689655,2.62068965517241,21.9655172413793,1
