"","avgScore13","avgFG13","avgTP13","avgFT13","avgRB13","avgASS13","avgTO13","avgSTL13","avgBL13","avgPF13","GP13"
"3",71.9354838709677,25.7741935483871,6.93548387096774,13.4516129032258,55.2903225806452,15,13.741935483871,7.12903225806452,5.58064516129032,18,1
"7",64.4117647058823,21.8235294117647,6,14.7647058823529,40.9411764705882,11.1764705882353,13.3823529411765,5.44117647058824,2.02941176470588,16.0294117647059,1
"12",73.28125,25.03125,7.65625,15.5625,47.15625,13.84375,13.09375,6.9375,3.90625,16.34375,3
"25",76.9,27.6333333333333,8.3,13.3333333333333,51.0333333333333,15.8,13.5666666666667,9.53333333333333,2.73333333333333,18.2,1
"29",71.0689655172414,24.7931034482759,7.51724137931035,13.9655172413793,37.3448275862069,12.3793103448276,12.2758620689655,6.62068965517241,1.6551724137931,19.2758620689655,1
"37",67.25,24.09375,4.625,14.4375,37.46875,13.4375,9.4375,3.5,4.0625,14.65625,1
"39",68.4242424242424,23.9393939393939,6.54545454545455,14,48.6666666666667,12.8787878787879,13.2727272727273,5.66666666666667,2.3030303030303,18.0606060606061,2
"43",67.5483870967742,25.3225806451613,4.03225806451613,12.8709677419355,37.3548387096774,14.0645161290323,12.5483870967742,5.7741935483871,4.74193548387097,16.3225806451613,2
"53",66.6363636363636,23.1515151515152,6.81818181818182,13.5151515151515,30,12.2121212121212,12.8181818181818,7,6.18181818181818,17.6969696969697,1
"60",68.15625,23.6875,5.40625,15.375,45.46875,10.03125,13.25,7.03125,3.125,15.78125,1
"61",72.258064516129,24.9354838709677,5.12903225806452,17.258064516129,40.8709677419355,12.8387096774194,10.7096774193548,4.64516129032258,1.80645161290323,17.0645161290323,2
"66",75.3823529411765,26.6764705882353,8.76470588235294,13.2647058823529,44.2941176470588,17.1764705882353,12.2647058823529,5,2.58823529411765,16.2058823529412,2
"72",73.09375,24.5625,7.5,16.46875,50.5,13.75,11,5.71875,2.75,17.625,1
"81",78.28125,27.34375,7.75,15.84375,57.03125,14.6875,10.71875,6.53125,3.78125,17.71875,4
"95",72.34375,26.21875,6.625,13.28125,41.875,13.71875,14.65625,8.8125,3.78125,17.59375,3
"96",71.6363636363636,26.2121212121212,8.39393939393939,10.8181818181818,35.7272727272727,14.8181818181818,11.1212121212121,6.96969696969697,3.3030303030303,14.1212121212121,4
"107",64.5806451612903,23,5.87096774193548,12.7096774193548,49.6774193548387,14.8064516129032,12.6774193548387,7.54838709677419,3.83870967741935,16.8709677419355,1
"111",76.8125,27.3125,6.21875,15.96875,60.4375,14.84375,11.15625,7.875,2.78125,15.90625,2
"117",68.9259259259259,22.7037037037037,6.37037037037037,17.1481481481481,37.7777777777778,13.0740740740741,13.6666666666667,7.37037037037037,4.14814814814815,15.1111111111111,2
"128",68.6363636363636,23.9393939393939,7.6969696969697,13.0606060606061,41.6666666666667,10.1515151515152,11.4848484848485,6.87878787878788,3.90909090909091,18.2121212121212,2
"131",80,26.8787878787879,7.3030303030303,18.9393939393939,40.8181818181818,14.5454545454545,13,7.48484848484848,3.72727272727273,17.0909090909091,3
"133",80.6969696969697,28.2727272727273,8.39393939393939,15.7575757575758,31.5151515151515,15.4545454545455,12.1818181818182,6.60606060606061,3,17.0909090909091,1
"135",79.6363636363636,27.5757575757576,9.84848484848485,14.6363636363636,39.4848484848485,15.969696969697,13.2727272727273,6.51515151515152,2.90909090909091,16.969696969697,2
"141",65.1764705882353,22.5294117647059,5.73529411764706,14.3823529411765,37.2941176470588,11.7352941176471,11.1764705882353,7.88235294117647,4.5,17.1470588235294,2
"142",75.3823529411765,26.6176470588235,6.02941176470588,16.1176470588235,57.3529411764706,15.6470588235294,13.6764705882353,7.17647058823529,6.61764705882353,16.9705882352941,3
"143",68.6666666666667,24.6666666666667,6.81818181818182,12.5151515151515,46.8787878787879,16,11.6060606060606,7.03030303030303,3.63636363636364,18.2727272727273,1
"147",72.4333333333333,25.7333333333333,7.6,13.3666666666667,44.1,14.3666666666667,11.7,8.06666666666667,3.56666666666667,15.3,4
"151",67.375,22.6875,6.78125,15.21875,26.46875,11.625,13.3125,5.125,2.90625,18.90625,1
"154",79.4545454545455,27.0909090909091,7.36363636363636,17.9090909090909,42.1212121212121,15.2727272727273,14.3939393939394,6.81818181818182,3.51515151515152,17.7272727272727,1
"157",73.5588235294118,25.8529411764706,5.82352941176471,16.0294117647059,56.7352941176471,15,12.6764705882353,10.7352941176471,4.23529411764706,17.7352941176471,6
"166",69,24.5161290322581,4.25806451612903,15.7096774193548,38,14.3548387096774,13.6129032258065,6.74193548387097,3.41935483870968,16.9677419354839,4
"172",75.8529411764706,27.5588235294118,6.17647058823529,14.5588235294118,55.4705882352941,17.2058823529412,14.6176470588235,8.97058823529412,6.29411764705882,18.0882352941176,2
"174",69.9090909090909,25.0606060606061,6.81818181818182,12.969696969697,52.2727272727273,11.2727272727273,10.9090909090909,6.33333333333333,4.54545454545455,14.7272727272727,3
"176",74.375,27.65625,7.34375,11.71875,51.46875,14.125,9.21875,6.03125,2.84375,13.0625,6
"177",67.5,24.375,4.96875,13.78125,49.90625,13.09375,13.15625,8.0625,3.8125,16,3
"178",68.4375,23.875,5.21875,15.46875,38.5625,14.78125,13.8125,7.5625,5.71875,17.53125,2
"179",77.8823529411765,27.2058823529412,6.79411764705882,16.6764705882353,48.8235294117647,12.5882352941176,11.3529411764706,8.41176470588235,5.14705882352941,16.9411764705882,2
"181",76.2424242424242,27.2727272727273,6.3030303030303,15.3939393939394,37.6363636363636,13.9393939393939,13.2424242424242,6.75757575757576,3.51515151515152,16.4545454545455,1
"185",70.4827586206897,23.8620689655172,6.75862068965517,16,47.9310344827586,12.551724137931,12.3103448275862,5.75862068965517,3,17.0689655172414,1
"192",71.2424242424242,25.030303030303,5.36363636363636,15.8181818181818,53.030303030303,14.1515151515152,13.7878787878788,7.09090909090909,3.78787878787879,20.6060606060606,1
"199",61.6176470588235,20.5588235294118,5.79411764705882,14.7058823529412,35.3235294117647,10.9117647058824,15.0588235294118,6.82352941176471,4.52941176470588,19.4117647058824,2
"201",77.5294117647059,28.1176470588235,5.29411764705882,16,48.8529411764706,14.6176470588235,12.3529411764706,6.58823529411765,4.26470588235294,15.3235294117647,1
"207",67.4411764705882,21.9705882352941,6.41176470588235,17.0882352941176,56.9117647058824,14.6176470588235,11.5,6.11764705882353,3.91176470588235,15.4411764705882,1
"208",68,23.8484848484848,4,16.3030303030303,37.8484848484849,11.4545454545455,14.3636363636364,5.51515151515152,5.54545454545455,15.2121212121212,1
"214",76.1818181818182,28.3333333333333,7.33333333333333,12.1818181818182,46.4545454545455,17.030303030303,12.2727272727273,7.96969696969697,3.3030303030303,14.9090909090909,2
"222",77.962962962963,27.4444444444444,5.74074074074074,17.3333333333333,53,14.6296296296296,14,9.33333333333333,4.51851851851852,19.8888888888889,1
"223",70.3529411764706,25.5882352941176,6.58823529411765,12.5882352941176,39.2058823529412,17,11.0588235294118,5.08823529411765,3.82352941176471,14.2352941176471,1
"226",69.3030303030303,25.0909090909091,6.03030303030303,13.0909090909091,43.8787878787879,13.3333333333333,10.6060606060606,6.78787878787879,4.3030303030303,15.5454545454545,4
"228",71.1290322580645,25.1612903225806,4.96774193548387,15.8387096774194,26.0967741935484,12.3870967741935,11.8387096774194,6.45161290322581,2.80645161290323,17.3225806451613,1
"229",72.375,24.78125,5.5625,17.25,37.65625,12.0625,12.40625,7.5,4.75,17.96875,1
"232",71.7352941176471,25.4705882352941,5.02941176470588,15.7647058823529,36.5882352941176,13,14.9117647058824,8.5,4,17.3823529411765,3
"234",66.84375,23.21875,6.46875,13.9375,38,14.34375,11.21875,5.53125,1.21875,18.3125,1
"238",69.59375,25.5625,5.0625,13.40625,36.9375,16.53125,10.90625,6.65625,3.9375,17.125,1
"255",72.6451612903226,25.3225806451613,7.83870967741935,14.1612903225806,40.5483870967742,13.9032258064516,10.5483870967742,5.09677419354839,2.19354838709677,14.3225806451613,1
"261",68.2666666666667,24.2666666666667,5.9,13.8333333333333,44.2333333333333,12.0333333333333,11.9333333333333,6.56666666666667,4.36666666666667,15.2,2
"280",66.5862068965517,22.6551724137931,6.62068965517241,14.6551724137931,21.7931034482759,10.7586206896552,11,7.03448275862069,4,17.4827586206897,1
"287",68.6969696969697,23.1212121212121,6.15151515151515,16.3030303030303,51.969696969697,12.8787878787879,11.4848484848485,7.48484848484848,3.15151515151515,17.3636363636364,2
"288",74.875,26.0625,7.84375,14.90625,42.25,14.5,11.9375,6.03125,2.96875,17.53125,2
"293",71.3428571428571,25.6857142857143,6.05714285714286,13.9142857142857,50.6571428571429,14.5428571428571,12.6285714285714,8.88571428571429,6.2,16.1714285714286,5
"296",72.75,25.1875,7.28125,15.09375,46.90625,14.875,10.96875,8.03125,3.6875,16.40625,2
"317",74.7352941176471,27.6764705882353,4.91176470588235,14.4705882352941,48.6764705882353,16.1470588235294,11.0588235294118,8.17647058823529,3.67647058823529,14.9117647058824,1
"324",71.0909090909091,24.9393939393939,6.48484848484848,14.7272727272727,52.3636363636364,16,14.0606060606061,7.18181818181818,5.81818181818182,16.9393939393939,1
"333",77.3235294117647,28,7.94117647058824,13.3823529411765,50.0294117647059,14.7058823529412,11.8235294117647,11.8235294117647,3.14705882352941,19.9117647058824,2
"334",71.46875,24.25,7.4375,15.53125,34.71875,13.875,14.40625,6.375,3.25,17.5,1
"337",67.4375,21.1875,6.09375,18.96875,41.59375,12.28125,15.625,7.53125,3.46875,19.03125,1
"343",67,23.2647058823529,6.52941176470588,13.9411764705882,30.4705882352941,11.2647058823529,15.0588235294118,6.08823529411765,3.26470588235294,18.9411764705882,1
"355",69.4411764705882,24.5882352941176,6.58823529411765,13.6764705882353,36.0588235294118,13.7941176470588,12.7941176470588,7.47058823529412,4.47058823529412,17.7058823529412,5
"358",65.5294117647059,23.7647058823529,7.41176470588235,10.5882352941176,41.5882352941176,13.3823529411765,9.73529411764706,5.67647058823529,4.29411764705882,13.9705882352941,1
