"","avgScore05","avgFG05","avgTP05","avgFT05","avgRB05","avgASS05","avgTO05","avgSTL05","avgBL05","avgPF05","GP05"
"4",75.4333333333333,25.3666666666667,7.63333333333333,17.0666666666667,44.8666666666667,13.8333333333333,12.6666666666667,5.2,4.43333333333333,14.7333333333333,1
"5",69.0689655172414,23.6551724137931,6.10344827586207,15.6551724137931,44.6206896551724,13.1379310344828,15.2413793103448,10.6206896551724,3.86206896551724,19.3448275862069,1
"12",79.6666666666667,29.1212121212121,6.84848484848485,14.5757575757576,55.7575757575758,16.5757575757576,14.8484848484848,8.24242424242424,3.57575757575758,16.4545454545455,4
"30",71.9285714285714,25.5357142857143,4,16.8571428571429,60.4642857142857,17.3928571428571,12.9285714285714,7.25,4.10714285714286,14.8928571428571,2
"37",63.5806451612903,21.258064516129,6.61290322580645,14.4516129032258,20.6451612903226,12.4516129032258,15.7741935483871,8,3,18.8709677419355,2
"50",78.3571428571429,26.4285714285714,8,17.5,51.6785714285714,14.2142857142857,13.1785714285714,8.71428571428571,3.21428571428571,16.9642857142857,1
"51",70.4444444444444,24.4814814814815,5.25925925925926,16.2222222222222,46.7777777777778,13.5185185185185,17.4074074074074,7.03703703703704,2,16.7777777777778,1
"53",76.4193548387097,25.5483870967742,6.61290322580645,18.7096774193548,56.3548387096774,15,13.4516129032258,5.48387096774194,6.87096774193548,17.6774193548387,2
"63",78.6206896551724,27.9655172413793,5.13793103448276,17.551724137931,58.9310344827586,17.4137931034483,15.2068965517241,6.17241379310345,9.13793103448276,15.8275862068966,2
"66",71.5151515151515,24.3030303030303,8.63636363636364,14.2727272727273,32.6969696969697,14.2727272727273,11.969696969697,6.84848484848485,3.27272727272727,17.6363636363636,1
"75",62.40625,20.25,6.5,15.40625,34.96875,10.65625,14.0625,8.15625,2.84375,16.09375,1
"81",79.7666666666667,26.5333333333333,8.96666666666667,17.7333333333333,49.9666666666667,13.2,13.6,8.76666666666667,6.86666666666667,18.4333333333333,3
"84",70.3703703703704,26.2592592592593,6.18518518518519,11.6666666666667,34.962962962963,14.6666666666667,14.2222222222222,6.85185185185185,3.77777777777778,19.5185185185185,1
"92",74.1612903225806,27.0645161290323,6.67741935483871,13.3548387096774,35.9354838709677,15.0322580645161,13.9032258064516,7.12903225806452,4.41935483870968,18.9677419354839,1
"96",76.8666666666667,26.7666666666667,7.66666666666667,15.6666666666667,45.5666666666667,15.0333333333333,13.6333333333333,7.03333333333333,4.46666666666667,18.2,2
"103",77.2413793103448,27.7241379310345,5.37931034482759,16.4137931034483,52.3103448275862,16.0344827586207,14.9655172413793,9.79310344827586,4.27586206896552,17.3793103448276,1
"110",74.5666666666667,26.7,5.9,15.2666666666667,28.9333333333333,14.9666666666667,15.3,8.26666666666667,5.3,20.1333333333333,2
"111",79.6896551724138,27.5862068965517,5.03448275862069,19.4827586206897,53.0689655172414,15.8275862068966,13.551724137931,5.58620689655172,3.44827586206897,17.4137931034483,2
"128",77.4242424242424,28.1515151515152,8.6969696969697,12.4242424242424,49.6969696969697,18.5757575757576,11.1212121212121,7.63636363636364,3.42424242424242,15.5151515151515,6
"134",73.21875,25.65625,6.40625,15.5,36.625,15.5,14.53125,7.53125,5.40625,18.6875,1
"135",68.3793103448276,25.2413793103448,3.68965517241379,14.2068965517241,40.0344827586207,14.2413793103448,12.9310344827586,9.48275862068965,3.79310344827586,16.6896551724138,2
"142",75.448275862069,26.9310344827586,6.79310344827586,14.7931034482759,53.7931034482759,16.5862068965517,14.4827586206897,6.62068965517241,3.86206896551724,19.2413793103448,1
"146",73.7333333333333,26.5,6.53333333333333,14.2,48.3333333333333,15.2666666666667,13.0333333333333,9.4,4.43333333333333,16.8,4
"157",80.5483870967742,26.5483870967742,9.64516129032258,17.8064516129032,63.6129032258064,15.9354838709677,14.3870967741935,9.06451612903226,3.93548387096774,18.5806451612903,5
"161",75.4827586206897,25.9655172413793,6.86206896551724,16.6896551724138,36.2068965517241,14.8965517241379,13.2413793103448,7,4.20689655172414,15.9655172413793,1
"177",78.0714285714286,27.7142857142857,6.85714285714286,15.7857142857143,42.5357142857143,17.8571428571429,13.8571428571429,7.71428571428571,2.67857142857143,19.2857142857143,5
"178",68.4516129032258,24.1935483870968,5.32258064516129,14.741935483871,32.6451612903226,14.3548387096774,16.1290322580645,9.12903225806452,4.64516129032258,15.9032258064516,1
"180",72.4375,25.5625,5.8125,15.5,39.4375,14.15625,15.125,6.9375,3.21875,15.4375,2
"185",69.2857142857143,23.4285714285714,5.82142857142857,16.6071428571429,32.1785714285714,13.7857142857143,17,5.89285714285714,3.10714285714286,17.1071428571429,1
"201",73.84375,25.1875,8.46875,15,25.75,15.3125,12.28125,7.0625,4.34375,18.84375,3
"205",69.551724137931,24.7241379310345,2.68965517241379,17.4137931034483,52.3103448275862,15.0689655172414,14.5862068965517,6.68965517241379,5.17241379310345,15.7241379310345,2
"207",75.8709677419355,25.9677419354839,8.29032258064516,15.6451612903226,36.9032258064516,15.0322580645161,13.8064516129032,7.51612903225806,3.45161290322581,16.8709677419355,1
"210",85.1724137931034,27.8965517241379,9.10344827586207,20.2758620689655,36.7241379310345,15.8965517241379,12.7931034482759,6.86206896551724,3.31034482758621,19,1
"214",88.7741935483871,30.4516129032258,7.38709677419355,20.4838709677419,61.6451612903226,19.3225806451613,16.6774193548387,10.3870967741935,3.83870967741935,18.1290322580645,6
"220",72.5,26.4,7.23333333333333,12.4666666666667,36.9666666666667,15.6666666666667,11.6666666666667,6.1,4.33333333333333,17.6333333333333,1
"224",70.3448275862069,25.0689655172414,6.27586206896552,13.9310344827586,24.5172413793103,14.7241379310345,12.0344827586207,6.96551724137931,2.48275862068966,17.6551724137931,2
"225",71.8064516129032,24.3548387096774,5.58064516129032,17.5161290322581,45.4193548387097,11.8064516129032,13,8.54838709677419,2.61290322580645,17.741935483871,1
"228",75.4193548387097,27.5161290322581,6.74193548387097,13.6451612903226,40.0322580645161,15.8709677419355,13.8064516129032,8.83870967741935,4.16129032258065,18.258064516129,2
"229",78.1034482758621,27.7241379310345,7.06896551724138,15.5862068965517,47.6896551724138,16.6206896551724,13.8620689655172,6.96551724137931,2.68965517241379,18.551724137931,3
